video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
CJ5dMwUgcrQ,"राहुल, खड़गे और ममता ने मांगा मोदी से इस्तीफ़ा","2024 में जश्न की तैयारी तो बीजेपी की थी लेकिन शाम होने को आए हैं, बीजेपी के जश्न का कहीं पता नहीं है। बीजेपी को लगता है कि सरकार तो बन जाएगी मगर अकेले बहुमत नहीं मिला।ख़ुद नरेंद्र मोदी की जीत बहुत कम वोट से हुई है।उनसे ज़्यादा मतों से तो किशोरी लाल शर्मा विजयी हुए हैं। राहुल, खड़गे और ममता ने क्या कहा, इस वीडियो में देखिए।",2024-06-04T14:29:09Z,UC0yXUUIaPVAqZLgRjvtMftw,Ravish Kumar Official,25,"['बिहार', 'तेजस्वी यादव', 'मोदी', 'राहुल गांधी', 'ममता बनर्जी', 'पटना', 'rjd', 'jdu', 'bjp', 'modi', 'भाजपा', 'कांग्रेस', 'congress', 'बीजेपी', 'प्रियंका', 'priyanka gandhi', 'breaking', 'news', 'latest', 'सरकार', 'uttar pradesh', 'उत्तर प्रदेश', 'लालू यादव', 'tejasvi yadav', 'alliance', 'rahul gandhi', 'shiv sena', 'शिव सेना', 'ममता', 'mamta banerjee', 'विधानसभा', '2024', 'election', 'चुनाव', 'अखिलेश यादव', 'akhilesh yadav', 'समाजवादी पार्टी', 'samajwadi party', 'yogi', 'karnataka', 'south', 'nda', 'india', 'exit poll', 'results', 'majority', 'बहुमत', 'अयोध्या', 'raebareli', 'amethi', 'अमेठी', 'रायबरेली', 'NDA', 'INDIA']",PT27M1S,hd,false,5508235,312043,0,0,21020
TQnEfCFqDXc,LIVE: PM Modi attends a programme at BJP HQ after 2024 General Election results,"After the announcement of the results of the Lok Sabha Elections 2024, Prime Minister Narendra Modi addressed a programme at BJP HQ in New Delhi. Thanking the people of India, PM Modi said, “The results of the Lok Sabha Elections of 2024 has enabled NDA emerge victorious for the 3rd time. He said that this is the victory of the idea of a ‘Viksit Bharat’ and to safeguard India’s Constitution. He said, “NDA’s victory for the 3rd time represents the victory of 140 crore Indians.”

#pmmodi #loksabhaelection2024 #bjp 

To Subscribe PM Narendra Modi's YouTube Channel click now at https://goo.gl/8qsb5E  and stay updated🔔

To Follow PM Narendra Modi's WhatsApp Channel, click now at  https://www.whatsapp.com/channel/0029Va8IaebCMY0C8oOkQT1F

PM Narendra Modi's other social media platforms:

► Download the NM App: http://nm4.in/dnldapp
► Like us on Facebook: https://facebook.com/narendramodi
► Follow us on Twitter: https://twitter.com/narendramodi
► Follow us on Instagram: http://instagram.com/narendramodi",2024-06-04T15:49:08Z,UC1NF71EwP41VdjAU1iXdLkw,Narendra Modi,25,"['prime minister narendra modi live', 'pm modi live', 'pm modi roadshow live', 'modi roadshow live today delhi', 'pm narendra modi live', 'मोदी जी लाइव', 'pm narendra modi today live', 'pm modi today live', 'pm modi live today', 'modi news live', 'pm narendra modi live today', 'narendra modi today news', 'narendra modi recent news', 'news about narendra modi', 'narendra modi today', 'pm modi at bjp headquarter', 'bjp headquarters new delhi live', 'pm modi news', 'मोदी लाइव आज', 'lok sabha election 2024 result']",PT59M41S,hd,false,5697720,225294,0,0,8694
Szyci4ht5OY,Beed Lok Sabha Result | अटीतटीच्या लढाईत कोण मारणार बाजी? Pankaja Munde Vs Bajrang Sonvane N18ER,"Lok Sabha election result countdown
Counting of votes in total 543 constituencies of the country
Counting of votes in 48 constituencies of Maharashtra 

लोकसभा निवडणुकीच्या निकालाचं काऊंटडाऊन
देशातील एकूण 543 मतदारसंघांमध्ये मतमोजणी
महाराष्ट्रातील 48 मतदारसंघांमध्ये मतमोजणी
सकाळी 8 पासून होणार मतमोजणीला सुरुवात
मतमोजणी केंद्रांवर पोलिसांचा कडेकोट बंदोबस्त
निकालासाठी 'न्यूज18 लोकमत'ची 'वॉररूम' सज्ज
वेगवान, अचूक निकाल सर्वप्रथम 'न्यूज18 लोकमत'वर
लोकसभेच्या सर्वात मोठ्या उत्सवाची बित्तंबातमी


#CountingDayWithNews18 #electionresultslive #electionresulttoday #electionresult2024 #loksabhaelectionresult2024 #electionresultlivenews #news18lokmat 

News18 Lokmat is one of the leading YouTube News channels which delivers news from across Maharashtra, India and the world 24x7 in Marathi.  Stay updated on all the current events shaping Maharashtra's political landscape, with a special focus on key figures such as PM Narendra Modi, Amit Shah, Devendra Fadnavis, Ajit Pawar, Sharad Pawar, Eknath Shinde, Uddhav Thackeray, CMO Maharashtra, Aaditya Thackeray, Raj Thackeray, Manoj Jarange Patil, Prakash Ambedkar, and more.
We cover interesting stories from across the world as well.

Join us as we delve into the heart of Maharashtra Politics, providing comprehensive coverage and unbiased reporting on News18 Lokmat's platform. Don't miss out on the action, subscribe now for all the latest news, debates, and more.

Download our News18 Mobile App - https://onelink.to/desc-youtube",2024-06-04T14:28:38Z,UCrcpw88HvKJ0skdsHniCJtQ,News18 Lokmat,25,"['lok sabha election', 'lok sabha election 2024 result', 'live election result', 'lok sabha election 2024', 'tv9 live election result', 'loksabha election results', 'election result live', 'maharashtra lok sabha exit poll 2024', 'maharashtra election result', 'election results live', 'election results 2024 india marathi', 'maharashtra lok sabha exit poll', 'maharashtra election result 2024', 'maharashtra election result live', 'ibn lokmat', 'news 18 lokmat', 'marathi result', 'lok sabha marathi nikal']",PT8M46S,hd,false,1046966,3871,0,0,275
haycJYB3piQ,Ep1. - Election Results 2024 | Modi's Magic Fades As NDA Struggles for 300 Paar | Akash Banerjee,"In a stunning twist to Indian Politics - the INDIA alliance proved that it means business .... The NDA has been pushed to UNDER 300 seats with BJP failing to cross the majority mark. That means that BJP & Narendra Modi will have to depend on allies to form the govt .... what does this mean for India and why this is good news for democracy! 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#electionresult #narendramodi #bjpvscongress",2024-06-04T13:44:57Z,UCmTM_hPCeckqN3cPWtYZZcg,The Deshbhakt,27,"['Akash Banerjee', 'akash', 'banerjee', 'bhakt banerjee', 'akash banerjee latest video', 'the deshbhakt', 'indian youtuber', 'dhruv rathee', 'khan sir', 'ravish kumar', 'NDA Vs INDIA', 'bjp vs congress', 'rahul gandhi', 'narendra modi', 'lok sabha election result', 'lok sabha election result 2024', 'election result live', '400 par', 'nitish kumar', 'akash banerjee', 'election results 2024', 'lok sabha election results', 'lok sabha election 2024']",PT16M12S,hd,true,3015411,155303,0,0,15213
xqEpadmpv5Q,"Andhra Election Result 2024: Chandrababu Naidu जब Press Conference में रो पड़े थे, खाई थी एक कसम","Andhra Election Result 2024: Chandrababu Naidu जब Press Conference में रो पड़े थे, खाई थी एक कसम

19 नवंबर 2021 को एक प्रेस कॉन्फ्रेंस में चंद्रबाबू नायडू रो पड़े थे. उसके बाद उन्होंने कसम खायी थी कि जब तक वो राज्य विधानसभा चुनाव जीत नहीं जाएंगे तब तक विधानसभा में कदम नहीं रखेंगे.

#AndhraPradeshElections2024 #AndhraElections #ChandrababuNaidu #AndhraPradeshELectionResults #TeluguDeshamParty #TDP 

About NDTV India (Hindi News Channel): 
 
NDTV इंडिया भारत का सबसे विश्वसनीय हिन्दी न्यूज़ चैनल है, जो पॉलिटिक्स, बिज़नेस, खेल, बॉलीवुड और बहुत-से क्षेत्रों की ताज़ातरीन ख़बरें समूचे देश और दुनियाभर से आपके लिए लाता है. ख़बरों के अलावा NDTV इंडिया पर बड़ी राजनैतिक डिबेट्स, एक्सक्लूसिव इंटरव्यूज़, टॉक शोज़ भी चौबीसों घंटे लगातार चलते रहते हैं, जिनमें ढेरों भरोसेमंद जानकारी आप तक सभी प्लेटफॉर्मों - टीवी, इंटरनेट और मोबाइल - के ज़रिये पहुंचती है. 

NDTV India is a 24-hour Hindi news channel. NDTV India established its image as one of India's leading credible news channels, and is a preferred channel by an audience which favours high quality local and world news, rather than sensational infotainment. NDTV India's popular shows revolve around: news, politics, economy, sports, entertainment, panel discussions with eminent personalities and noteworthy commentaries.

ताजातरीन Videos के लिए यहां क्लिक करें : https://www.youtube.com/playlist?list=PLpSN4vP31-Ku10h9c8jrTjSRFbFdQ8TR6

NDTV इंडिया के सभी प्रीमियम शो एक साथ देखने के लिए यहां क्लिक करें : https://www.youtube.com/@ndtvindia/playlists?view=50&sort=dd&shelf_id=5

दिन की सबसे बड़ी ख़बरों पर NDTV के रिपोर्टरों और एंकरों की ग्राउंड रिपोर्ट तथा विश्लेषण के लिए यहां क्लिक करें : https://www.youtube.com/playlist?list=PLpSN4vP31-KvAM2r9mcbxfN7Jz9Dq3152

न्यूज़ इन शॉर्ट्स के लिए यहां क्लिक करें : https://www.youtube.com/playlist?list=PLpSN4vP31-Kv_xJpLn-dyJCVlTkqXB72R

देखें NDTV इंडिया लाइव, फ़्री डिश चैनल नं 49 पर

सबसे विश्वसनीय, निष्पक्ष और ताज़ातरीन ख़बरों के लिए हमारे चैनल को सब्सक्राइब करें.

Subscribe to our channel to get latest news updates. Watch NDTV India live news 24x7 for the latest from across the world.
 
Follow us on Social Media:
Whatsapp: https://whatsapp.com/channel/0029Va4W2Dn6GcG6c6XL9s38
Facebook: https://www.facebook.com/ndtvindia/ 
Twitter: https://twitter.com/ndtvindia/
Instagram: https://www.instagram.com/ndtvindia/ 
Telegram Messenger: https://t.me/NDTVbot/?start=hi 
 
Follow us on Google News for Breaking and Latest News Updates:
NDTV India (Hindi News): https://bit.ly/3mNVwMY   
NDTV: https://bit.ly/3e5ngbP 
 
Download NDTV Mobile Apps:
http://www.ndtv.com/page/apps 
 
#News #LatestNewsInHindi #LiveNews #BreakingNews #Bulletin #NDTV #NDTVIndia",2024-06-04T16:26:06Z,UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,25,"['chandrababu naidu crying', 'chandrababu naidu', 'andhra pradesh election 2024 results', 'andhra pradesh election 2024', 'andhra election 2024', 'show= originals', 'category= election', 'andhra election result', 'telugu desham party', 'tdp', 'andhra elections 2024', 'andhra election results 2024', 'NDTV India', 'latest news in hindi', 'hindi news', 'top news', 'india news live', 'breaking news', 'VAS Originals', 'chandrababu naidu crying live']",PT2M22S,hd,false,2219168,22566,0,0,983
Bu_vqtJmGws,"Assembly Election Results 2024: ओडिशा विधानसभा चुनाव में बीजेपी को बंपर बढ़त, आंध्र में NDA की आंधी","Assembly Election Results 2024: लोकसभा की 542 सीटों की काउंटिंग जारी है. इस बीच आंध्र प्रदेश और ओडिशा विधानसभा चुनावों के लिए भी वोटों की गिनती चल रही है. ओडिशा की बात करें तो रुझानों में बीजेपी बहुमत के साथ बढ़त बनाए हुए है. वहीं, आंध्र के रुझान TDP को भारी बढ़त दिखा रहे है.


#electionresult #assemblyelectionresult #odisha #aajtakdigital  

 #Aajtak #HindiNews

Aaj Tak HD| Hindi News | Aaj Tak Live | Aajtak HD News | आज तक लाइव
-------------------------------------------------------------------------------------------------------------
#AajTakHD #HindiNews #AajTak #aajtaklivetv #aajtakhindi 
#today_breaking_news #aajtak #Breaking #TopNews #LatestNews 

AajTak Live TV 

Watch the latest Hindi HD news Live on the World's Most Subscribed News Channel on YouTube. 

Aaj Tak HD News Channel: 

आज तक भारत का सर्वश्रेष्ठ हिंदी न्‍यूज चैनल है । आज तक न्‍यूज चैनल राजनीति, मनोरंजन, बॉलीवुड, व्यापार और खेल में नवीनतम समाचारों को शामिल करता है। आज तक न्‍यूज चैनल की लाइव खबरें एवं ब्रेकिंग न्यूज के लिए बने रहें । 

Aaj Tak HD is India's best Hindi News Channel. Aaj Tak news channel covers the latest news in politics, entertainment, Bollywood, business and sports. Stay tuned for all the breaking news in Hindi!",2024-06-04T08:45:00Z,UClmlqOOktUTpfW0EkTiqSjQ,Aaj Tak HD,25,"['aaj tak', 'aaj tak hd', 'Aaj Tak HD', 'news', 'latest news in hindi', 'breaking news', 'aaj tak news', 'aaj tak news video', 'aaj tak live', 'aajtak channel news', 'hindi news', 'news video', 'aaj ka taja samachar', 'aajtak', 'aajtak news', 'live news in hindi', 'Lok Sabha Election Results', 'Lok Sabha Election', 'Election Poll Result 2024', 'General Election Result 2024', 'Election Results', 'Election Results 2024', '2024 Election Results', 'Election Result', 'Election Result news', 'India Election results']",PT17M2S,hd,false,1253929,7370,0,0,932
s1B5CjEQpmU,Ep3. Election Results 2024 | How Did Modi’s Magic Fade & What Next For India? | Akash Banerjee,"👉 Register for ChatGPT & AI workshop for FREE: https://link.growthschool.io/DBJ
👉 100% Discount for first 1000 people 🔥
👉 Become the top 1% professional by learning ChatGPT and AI today 🔥
❤️ Reshare this with your friends who will need this 😇

Is Narendra Modi going to be the next Prime Minister of India? Most likely. Did he win Elections 2024? Far from it. From 400 slogan to not even crossing 300 - NDA has been battered - worse the BJP far from the 272 number and now dependent on allies to exist in power. The halo / invincibility and domination of Modi is over .... how did that happen - how did BJP not see it coming?? 
 
🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#Modi #elections2024 #electionresult",2024-06-04T21:14:54Z,UCmTM_hPCeckqN3cPWtYZZcg,The Deshbhakt,27,"['Akash Banerjee', 'akash', 'banerjee', 'bhakt banerjee', 'akash banerjee latest video', 'the deshbhakt', 'indian youtuber', 'dhruv rathee', 'khan sir', 'ravish kumar', 'NDA Vs INDIA', 'bjp vs congress', 'rahul gandhi', 'narendra modi', 'lok sabha election result', 'lok sabha election 2024 live', 'chunav result 2024', 'congress', 'bjp', 'lok sabha election results', 'election analysis 2024 UPSC', 'election result key content', 'election 2024 key contest', 'election 2024', 'akash banerjee latest', 'how modi lost', 'pm modi']",PT24M57S,hd,true,1842156,111066,0,0,9183
hvDjt7XwfGc,Loksabha Election Result 2024: अमेठी में Smriti Irani के पिछड़ने पर Priyanka Gandhi का Tweet Viral,"Loksabha Election Result 2024:Priyanka Gandhi Gives a Shout-Out to KL Sharma with Throwback Photo as He Takes Lead in Amethi Against Smriti Irani. Watch Out

#SmritiIrani #PriyankaGandhi #LoksabhaElections2024 #ResultDay
                ~HT.318~PR.128~
--------------------------------------------------------------------------------------------------------------
Subscribe to FilmiBeat Channel for latest updates on movies and related videos.

You Tube: https://goo.gl/qlauzb

Follow us on Twitter
https://twitter.com/filmibeat

Like us on Facebook
https://www.facebook.com/Filmibeat

Visit us: http://www.filmibeat.com/

Download app: https://play.google.com/store/apps/details?id=com.oneindia.common",2024-06-04T12:08:08Z,UCsaoYBUHz_lVB_dOmFwA9Zw,FilmiBeat,24,"['Priyanka Gandhi', 'Rahul Gandhi', 'Rahul Gandhi smriti irani', 'amethi seat bjp leader', 'amethi seat congress leader', 'amethi seat ke rujhan', 'amethi seat se kaun kaun lad rha hai', 'amethi seat winner 2024', 'bjp in 2024 election', 'kl sharma', 'lok sabha election 2024 results live', 'lok sabha election results 2024', 'rahul gandhi', 'rahul gandhi after winning amethi seat', 'smriti irani', 'smriti irani 2024 election', 'smriti irani in lok sabha election 2024', 'smriti irani vs kl sharma']",PT3M14S,hd,false,1245248,18272,0,0,1100
giHDj3yAJtQ,"Lok Sabha Election चुनाव परिणामों के बाद ही Nitish Kumar के Memes वायरल, देखिए कमेंट्स |ABPLIVE","News: 
#loksabhaelectionresult2024 #nitishkumar #rahulgandhi 

#ABPLIVE #ABPLIVEChannel
Subscribe to ABPLIVE: https://www.youtube.com/channel/UCmphdqZNmqL72WJ2uyiNw5w?sub_confirmation=1

About Channel:
ABPLIVE एक समाचार चैनल है जो नवीनतम शीर्ष समाचारों, खेल, व्यवसाय, मनोरंजन, राजनीति और कई और अन्य कवरेज प्रदान करता है। यह चैनल मुख्य रूप से भारत के विभिन्न हिस्सों से नवीनतम समाचारों का विस्तृत विवरण प्रदान करता है।

ABPLIVE is a news hub which provides you with the comprehensive up-to-date news coverage from all over India and World. Get the latest top stories, current affairs, sports, business, entertainment, politics, astrology, spirituality, and many more here only on ABP News Hindi.

ABPLIVE is a popular Hindi News Channel made its debut as STAR News in March 2004 and was rebranded to ABP News from 1st June 2012.

The vision of the channel is 'Aapko Rakhe Aagey' - the promise of keeping each individual ahead and informed. ABP News is best defined as a responsible channel with a fair and balanced approach that combines prompt reporting with insightful analysis of news and current affairs.

ABP News maintains the repute of being a people's channel. Its cutting-edge formats, state-of-the-art newsrooms commands the attention of 48 million Indians weekly.

Watch Live on https://abplive.com/live-tv
ABP Hindi: https://abplive.com/
ABP English: https://news.abplive.com/

Download ABP App for Apple: https://itunes.apple.com/in/app/abp-live-abp-news-abp-ananda/id811114904?mt=8
Download ABP App for Android: https://play.google.com/store/apps/details?id=com.winit.starnews.hin&hl=en

Social Media Handles:
Instagram: https://www.instagram.com/abpnewstv/
Facebook: https://www.facebook.com/abpnews/
Twitter: https://twitter.com/ABPNews",2024-06-04T14:30:06Z,UCmphdqZNmqL72WJ2uyiNw5w,ABPLIVE,25,"['Today News in Hindi', 'Latest Hindi News', 'ब्रेकिंग न्यूज़ ताजा खबर', 'State News', 'राज्य समाचार', 'आज की ताज़ा ख़बर', 'Local News', 'लोकल न्यूज', 'Hindi Samachar', 'हिंदी समाचार', 'news videos', 'latest news videos', 'top headlines today', 'मुख्य समाचार', 'न्यूज़ इन हिन्दी', 'एबीपी लाइव', 'एबीपीलाइव', 'ABPLIVE Hindi news', 'ABPLIVE हिंदी न्यूज़', 'ABPLIVE Hindi Samachar', 'ABPLIVE', 'ABPLIVE हिंदी समाचार', 'ABPLIVE Latest News']",PT2M26S,hd,false,1098706,13270,0,0,1247
EV1EzghpDlc,Ep2. - Election Results 2024 Delivers MASSIVE SHOCKERS In Key Battle Seats | Akash Banerjee,"Smriti Irani got whipped in Amethi, Kanhaiya Kumar lost in Delhi, Annamalai could not get BJP a toehold in Tamil Nadu .... besides BJP's big reduction in national numbers - here's how some KET BATTLE SEATS played out and what it means for Indian Politics....

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#elections2024 #electionresult #electionanalysis",2024-06-04T16:51:37Z,UCmTM_hPCeckqN3cPWtYZZcg,The Deshbhakt,27,"['Akash Banerjee', 'akash', 'banerjee', 'bhakt banerjee', 'akash banerjee latest video', 'the deshbhakt', 'indian youtuber', 'dhruv rathee', 'khan sir', 'ravish kumar', 'NDA Vs INDIA', 'chunav result 2024', 'election result live 2024', 'election analysis 2024 UPSC', 'madhavi latha', 'Kangana Ranaut', 'Asaduddin Owaisi', 'Mahua Moitra Amrita Roy', 'Yusuf Pathan', 'Kanhaiya Kumar Manoj Tewari', 'election result key content', 'election 2024 key contest', 'narendra modi', 'rahul gandhi', 'pm modi', 'akash banerjee latest']",PT22M9S,hd,true,2538871,111974,0,0,8597
